,ID,Name,Sex,Age,Height,Weight,Team,Development_Status,Rank,NOC,Games,Season,City,Sport,Event,Has_Previous_Medal,Count,Medal
0,1,Nstor Abad Sanjun,M,23.0,167.0,64.0,Spain,Developed,1,ESP,2016 Summer,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Individual All-Around,False,0,
1,2,Raouf Abdelraouf,M,22.0,167.0,63.0,Egypt,Developing,3,EGY,2000 Summer,Summer,Sydney,Gymnastics,Gymnastics Men's Individual All-Around,False,0,
2,3,Katja Abel,F,25.0,165.0,55.0,Germany,Developed,1,GER,2008 Summer,Summer,Beijing,Gymnastics,Gymnastics Women's Individual All-Around,False,0,
3,4,Andreea Roxana Acatrinei,F,16.0,150.0,40.0,Romania,Developed,1,ROU,2008 Summer,Summer,Beijing,Gymnastics,Gymnastics Women's Individual All-Around,False,0,
4,5,Jonna Eva-Maj Adlerteg,F,17.0,153.0,38.0,Sweden,Developed,1,SWE,2012 Summer,Summer,London,Gymnastics,Gymnastics Women's Individual All-Around,False,0,
5,6,Kseniya Dmitriyevna Afanasyeva,F,16.0,158.0,48.0,Russia,Upper-Middle,2,RUS,2008 Summer,Summer,Beijing,Gymnastics,Gymnastics Women's Individual All-Around,False,0,
6,7,Mirabella Viliamivna Akhunu,F,17.0,159.0,50.0,Ukraine,Developing,3,UKR,2004 Summer,Summer,Athina,Gymnastics,Gymnastics Women's Individual All-Around,False,0,
7,8,Nashwan Haidar Al-Harazi,M,21.0,162.0,54.0,Yemen,Developing,3,YEM,2008 Summer,Summer,Beijing,Gymnastics,Gymnastics Men's Individual All-Around,False,0,
8,9,Rnar (Ruslan-) Alexandersson (Ovtinnikov-),M,23.0,171.0,63.0,Iceland,Developed,1,ISL,2000 Summer,Summer,Sydney,Gymnastics,Gymnastics Men's Individual All-Around,False,0,
9,10,Rnar (Ruslan-) Alexandersson (Ovtinnikov-),M,27.0,171.0,63.0,Iceland,Developed,1,ISL,2004 Summer,Summer,Athina,Gymnastics,Gymnastics Men's Individual All-Around,False,1,
10,11,Maksim Nikolayevich Alyoshin,M,21.0,166.0,63.0,Russia,Upper-Middle,2,RUS,2000 Summer,Summer,Sydney,Gymnastics,Gymnastics Men's Individual All-Around,False,0,
11,12,Isabella del Carmen Amado Medrano,F,19.0,155.0,59.0,Panama,Upper-Middle,2,PAN,2016 Summer,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Individual All-Around,False,0,
12,13,Simona Amnar (-Tabr),F,20.0,158.0,44.0,Romania,Developed,1,ROU,2000 Summer,Summer,Sydney,Gymnastics,Gymnastics Women's Individual All-Around,True,0,Gold
