,Name,Sex,Age,Height,Weight,Team,Development_Status,Rank,NOC,Games,Season,City,Sport,Event,Has_Previous_Medal,Count,Medal
0,Nstor Abad Sanjun,0,0.45546896444675505,0.7600820400881941,0.9239128853091032,Spain,Developed,0.6449227400343326,ESP,2016 Summer,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Individual All-Around,-0.304479122019081,-0.4711643897950438,
1,Raouf Abdelraouf,0,0.21257302390102517,0.7600820400881941,0.8290680825762227,Egypt,Developing,-2.294109336251159,EGY,2000 Summer,Summer,Sydney,Gymnastics,Gymnastics Men's Individual All-Around,-0.304479122019081,-0.4711643897950438,
2,Katja Abel,1,0.9412608455382149,0.5348403371329975,0.07030966071317776,Germany,Developed,0.6449227400343326,GER,2008 Summer,Summer,Beijing,Gymnastics,Gymnastics Women's Individual All-Around,-0.304479122019081,-0.4711643897950438,
3,Andreea Roxana Acatrinei,1,-1.2448026193733541,-1.1544724350309774,-1.3523623802800313,Romania,Developed,0.6449227400343326,ROU,2008 Summer,Summer,Beijing,Gymnastics,Gymnastics Women's Individual All-Around,-0.304479122019081,-0.4711643897950438,
4,Jonna Eva-Maj Adlerteg,1,-1.0019066788276243,-0.8166098805981824,-1.5420519857457926,Sweden,Developed,0.6449227400343326,SWE,2012 Summer,Summer,London,Gymnastics,Gymnastics Women's Individual All-Around,-0.304479122019081,-0.4711643897950438,
5,Kseniya Dmitriyevna Afanasyeva,1,-1.2448026193733541,-0.25350562321019077,-0.5936039584169865,Russia,Upper-Middle,-0.8245932981084132,RUS,2008 Summer,Summer,Beijing,Gymnastics,Gymnastics Women's Individual All-Around,-0.304479122019081,-0.4711643897950438,
6,Mirabella Viliamivna Akhunu,1,-1.0019066788276243,-0.14088477173259245,-0.4039143529512253,Ukraine,Developing,-2.294109336251159,UKR,2004 Summer,Summer,Athina,Gymnastics,Gymnastics Women's Individual All-Around,-0.304479122019081,-0.4711643897950438,
7,Nashwan Haidar Al-Harazi,0,-0.030322916644704725,0.1969777827002025,-0.024535142019702846,Yemen,Developing,-2.294109336251159,YEM,2008 Summer,Summer,Beijing,Gymnastics,Gymnastics Men's Individual All-Around,-0.304479122019081,-0.4711643897950438,
8,Rnar (Ruslan-) Alexandersson (Ovtinnikov-),0,0.45546896444675505,1.2105654459985875,0.8290680825762227,Iceland,Developed,0.6449227400343326,ISL,2000 Summer,Summer,Sydney,Gymnastics,Gymnastics Men's Individual All-Around,-0.304479122019081,-0.4711643897950438,
9,Rnar (Ruslan-) Alexandersson (Ovtinnikov-),0,1.4270527266296746,1.2105654459985875,0.8290680825762227,Iceland,Developed,0.6449227400343326,ISL,2004 Summer,Summer,Athina,Gymnastics,Gymnastics Men's Individual All-Around,-0.304479122019081,1.5293532652363717,
10,Maksim Nikolayevich Alyoshin,0,-0.030322916644704725,0.6474611886105958,0.8290680825762227,Russia,Upper-Middle,-0.8245932981084132,RUS,2000 Summer,Summer,Sydney,Gymnastics,Gymnastics Men's Individual All-Around,-0.304479122019081,-0.4711643897950438,
11,Isabella del Carmen Amado Medrano,1,-0.5161147977361645,-0.5913681776429858,0.4496888716447002,Panama,Upper-Middle,-0.8245932981084132,PAN,2016 Summer,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Individual All-Around,-0.304479122019081,-0.4711643897950438,
12,Simona Amnar (-Tabr),1,-0.27321885719043465,-0.25350562321019077,-0.9729831693485089,Romania,Developed,0.6449227400343326,ROU,2000 Summer,Summer,Sydney,Gymnastics,Gymnastics Women's Individual All-Around,3.280070541751009,-0.4711643897950438,Gold
13,Thomas Andergassen,0,0.6983649049924849,0.6474611886105958,0.734223279843342,Germany,Developed,0.6449227400343326,GER,2004 Summer,Summer,Athina,Gymnastics,Gymnastics Men's Individual All-Around,-0.304479122019081,-0.4711643897950438,
14,Thomas Andergassen,0,1.6699486671754045,0.6474611886105958,0.734223279843342,Germany,Developed,0.6449227400343326,GER,2008 Summer,Summer,Beijing,Gymnastics,Gymnastics Men's Individual All-Around,-0.304479122019081,1.5293532652363717,
15,Rebeca Rodrigues de Andrade,1,-1.0019066788276243,-1.041851583553379,-0.7832935638827477,Brazil,Upper-Middle,-0.8245932981084132,BRA,2016 Summer,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Individual All-Around,-0.304479122019081,-0.4711643897950438,
16,Matteo Angioletti,0,1.4270527266296746,0.1969777827002025,1.5878265044392674,Italy,Developed,0.6449227400343326,ITA,2008 Summer,Summer,Beijing,Gymnastics,Gymnastics Men's Individual All-Around,-0.304479122019081,1.5293532652363717,
17,Matteo Angioletti,0,0.45546896444675505,0.1969777827002025,1.5878265044392674,Italy,Developed,0.6449227400343326,ITA,2004 Summer,Summer,Athina,Gymnastics,Gymnastics Men's Individual All-Around,-0.304479122019081,-0.4711643897950438,
